No,Weight,Length,Circumference,Grade
1,486.5,14,27,A
2,388.4,12,26,A
3,493.7,12,26.5,A
4,342.5,10,24.3,A
5,401.5,11,25,A
6,342.4,12.5,24,A
7,338.4,12.5,24,A
8,387.9,12.4,26.2,A
9,451.7,13.4,27.3,A
10,349.5,12,24.6,A
11,435.5,13.3,26.5,A
12,422,12.7,27.7,A
13,571.9,15.4,29.9,A
14,409.7,13,26.2,A
15,433,12.9,26.8,A
16,472.1,14.1,27.2,A
17,324.2,12,24.3,A
18,467.2,14,26.8,A
19,407.9,12.6,26.3,A
20,341.7,10.2,25.1,A
21,391.9,13.6,26.3,A
22,422.1,14.4,26.4,A
23,361.7,13.3,25.7,A
24,377,13.3,26.6,A
25,382.3,13,25.6,A
26,399.5,12.9,26.3,A
27,402.2,12.3,25.8,A
28,368.6,12.6,24.8,A
29,332.8,12.6,24.3,A
30,468.6,14,27,A
31,507.4,14.7,27,A
32,457.5,12.8,26.9,A
33,440.2,14.3,27.6,A
34,432.8,14.3,26,A
35,385,13.8,24.7,B
36,354,11.7,24.4,B
37,445.6,13.5,26.8,B
38,451,13.3,26.3,B
39,342.4,11.7,24.2,B
40,332.6,12.5,23.5,B
41,338.2,12.6,22.8,B
42,268.4,10.8,22.2,B
43,352.1,11.5,24.4,B
44,343.4,11.5,23.5,B
45,348.5,11.7,23.3,B
46,267.7,10,21.5,B
47,383.2,12.5,24,B
48,416.4,12.5,25.5,B
49,241,11,21.7,B
50,390,12.5,24.5,B
51,282.1,11,22.7,B
52,450.8,14,25.1,B
53,355.1,11.9,23.6,B
54,306.4,11.1,23.5,B
55,404.9,12.5,25.2,B
56,378.5,11.5,24.5,B
57,340.4,11.1,24,B
58,428.1,13.3,24.8,B
59,465.3,14.2,25.5,B
60,318,11.5,23,B
61,424.2,12.8,25.3,B
62,465.5,14,25.5,B
63,448.3,12.5,26,B
64,289.2,11,21.8,B
65,381.4,12.5,24,B
66,298.1,11.3,22.5,B
67,420.5,12.6,26,B
68,294,11.3,21.7,C
69,290.5,11,22.4,C
70,256.5,10.5,21.2,C
71,281,11.2,22.2,C
72,276.5,10.7,21.2,C
73,267.2,10.7,20.9,C
74,237,10.5,20.5,C
75,318.5,11.8,22.4,C
76,290.2,10.4,21.3,C
77,307.8,10.7,22,C
78,303,11.1,22.2,C
79,300.4,10.5,21.2,C
80,295.6,11.9,22.8,C
81,288.8,10.7,20.9,C
82,274.5,10.9,21.1,C
83,319.2,11.5,21.2,C
84,311,11.6,22.3,C
85,261.5,10.8,21.4,C
86,272.8,10.5,20.8,C
87,305.9,11.1,21.4,C
88,297.2,10.9,21.5,C
89,290,10.9,22.8,C
90,303.7,10.7,21.5,C
91,311.5,12.1,22.7,C
92,235,10.5,20.5,C
93,266.5,11.1,21.2,C
94,304.5,11.3,21.3,C
95,242,10.5,20.3,C
96,251,10.8,20.7,C
97,257.8,10.2,21.2,C
98,303.7,11.8,22.3,C
99,285.9,10.8,21.5,C
100,241,10.5,20.5,C
101,296,11.7,22.2,C
102,306.1,11.9,22.7,C
103,240,10.2,20.8,C
104,268.4,10.7,20.9,C
105,275.3,10.8,21.2,C
